Monday ID,File Name,S3 - public bucket,Vimeo link
711091459,The_cost_of_calling_out_corruption,https://s3-eu-west-1.amazonaws.com/ws20-output/711091459_The_cost_of_calling_out_corruption.mp4,https://vimeo.com/487300121/0b817499e4
710336432,MOBOLISE,https://s3-eu-west-1.amazonaws.com/ws20-output/710336432_MOBOLISE.mp4,https://vimeo.com/486994628/dc34a65c2a710336432
710336437,Getting_past_the_crisis_of_gatherings,https://s3-eu-west-1.amazonaws.com/ws20-output/710336437_Getting_past_the_crisis_of_gatherings.mp4,https://vimeo.com/486974504/b8318d2223710336437
712266942,Best_budget_phones_of_2020,https://s3-eu-west-1.amazonaws.com/ws20-output/712266942_Best_budget_phones_of_2020.mp4,https://vimeo.com/488643849/daf35d4154
710790317,Wildfires:_Lessons_from_California,https://s3-eu-west-1.amazonaws.com/ws20-output/710790317_Wildfires:_Lessons_from_California.mp4,https://vimeo.com/488460687/d9f1f400ed
741088877,Leading_from_the_back,https://s3-eu-west-1.amazonaws.com/ws20-output/741088877_Leading_from_the_back.mp4,https://vimeo.com/488546458/d050ed4dc5
710791454,The_future_of_sustainable_food,https://s3-eu-west-1.amazonaws.com/ws20-output/710791454_The_future_of_sustainable_food.mp4,https://vimeo.com/488691332/453e673658
840804872,Armed_with_a_pen:_The_battle_for_education,https://s3-eu-west-1.amazonaws.com/ws20-output/840804872_Armed_with_a_pen:_The_battle_for_education.mp4,https://vimeo.com/488488755/7aeaed0b9c
724967755,Equality_in_human_development,https://s3-eu-west-1.amazonaws.com/ws20-output/724967755_Equality_in_human_development.mp4,https://vimeo.com/488533947/1a2cf22fba
710234868,In_conversation_with_Bobby_Berk,https://s3-eu-west-1.amazonaws.com/ws20-output/710234868_In_conversation_with_Bobby_Berk.mp4,https://vimeo.com/487203840/1b7de626e9710234868
710653471,Does_mental_health_need_psychedelic_support?,https://s3-eu-west-1.amazonaws.com/ws20-output/710653471_Does_mental_health_need_psychedelic_support?.mp4,https://vimeo.com/487027820/13ab25a55b710653471
741089231,Lisboa:_A_smart_city,https://s3-eu-west-1.amazonaws.com/ws20-output/741089231_Lisboa:_A_smart_city.mp4,https://vimeo.com/488752592/a780302fdd
710234971,Opening_Saturday_Night_Live,https://s3-eu-west-1.amazonaws.com/ws20-output/710234971_Opening_Saturday_Night_Live.mp4,https://vimeo.com/487204301/85506a045a710234971
844256648,Treating_the_environment_as_a_major_stakeholder,https://s3-eu-west-1.amazonaws.com/ws20-output/844256648_Treating_the_environment_as_a_major_stakeholder.mp4,https://vimeo.com/488719143/47686f7457
710234926,Has_social_media_found_its_soul?,https://s3-eu-west-1.amazonaws.com/ws20-output/710234926_Has_social_media_found_its_soul?.mp4,https://vimeo.com/487204037/5e950cf665710234926
712266955,Decoding_human_emotions,https://s3-eu-west-1.amazonaws.com/ws20-output/712266955_Decoding_human_emotions.mp4,https://vimeo.com/488765803/f33c28b68b
719722374,Expanding__worlds,https://s3-eu-west-1.amazonaws.com/ws20-output/719722374_Expanding__worlds.mp4,https://vimeo.com/488905329/abc4e91330
711262490,Unicorn_evolution_theory,https://s3-eu-west-1.amazonaws.com/ws20-output/711262490_Unicorn_evolution_theory.mp4,https://vimeo.com/488437642/8b7772734c
711097188,Mapping_the_genome:_Is_the_Finnish_line_in_sight?,https://s3-eu-west-1.amazonaws.com/ws20-output/711097188_Mapping_the_genome:_Is_the_Finnish_line_in_sight?.mp4,https://vimeo.com/488748521/4159efae02
711091436,Going_global:_The_challenges_of_international_news,https://s3-eu-west-1.amazonaws.com/ws20-output/711091436_Going_global:_The_challenges_of_international_news.mp4,https://vimeo.com/488430189/2991c4075d
724967701,The_rise_of_the_millenial_investor,https://s3-eu-west-1.amazonaws.com/ws20-output/724967701_The_rise_of_the_millenial_investor.mp4,https://vimeo.com/488714308/e80211428d
710779864,Can_AI_beat_biology?,https://s3-eu-west-1.amazonaws.com/ws20-output/710779864_Can_AI_beat_biology?.mp4,https://vimeo.com/488671316/857881df2e
733211075,NASA's_next_space_voyage,https://s3-eu-west-1.amazonaws.com/ws20-output/733211075_NASA's_next_space_voyage.mp4,https://vimeo.com/488840865/0a17bdc2f2
878957448,Tokyo_2021:_Reinventing_the_Olympics,https://s3-eu-west-1.amazonaws.com/ws20-output/878957448_Tokyo_2021:_Reinventing_the_Olympics.mp4,https://vimeo.com/488864834/6193aef9a5
741088948,Portugal's_network_for_planet_regeneration,https://s3-eu-west-1.amazonaws.com/ws20-output/741088948_Portugal's_network_for_planet_regeneration.mp4,https://vimeo.com/488568615/8ce7274b7b
712266961,The_danger_of_deepfakes,https://s3-eu-west-1.amazonaws.com/ws20-output/712266961_The_danger_of_deepfakes.mp4,https://vimeo.com/488804142/e2aa87100d
711262502,Toronto's_fight_against_Covid-19,https://s3-eu-west-1.amazonaws.com/ws20-output/711262502_Toronto's_fight_against_Covid-19.mp4,https://vimeo.com/488421532/d1ec53bb78
724967716,What_today_is_telling_us_about_tomorrow,https://s3-eu-west-1.amazonaws.com/ws20-output/724967716_What_today_is_telling_us_about_tomorrow.mp4,https://vimeo.com/488464525/dd819fbb94
741099043,Media_and_misinformation_in_the_Covid_era,https://s3-eu-west-1.amazonaws.com/ws20-output/741099043_Media_and_misinformation_in_the_Covid_era.mp4,https://vimeo.com/488465024/a9285f1a53
711262526,The_move_from_macro_to_micro_mobility,https://s3-eu-west-1.amazonaws.com/ws20-output/711262526_The_move_from_macro_to_micro_mobility.mp4,https://vimeo.com/488709348/862906d319
741098103,MAAT:_Museums_in_the_new_reality,https://s3-eu-west-1.amazonaws.com/ws20-output/741098103_MAAT:_Museums_in_the_new_reality.mp4,https://vimeo.com/488368691/0a82abcb40
