FILE NAME,UUID,Omnia UUID,Talk Title,Description,SP1,SP2,SP3,MOD
D40.2_WS20_724967717_TLK_EDT_V3_FIN,724967717,a1d3b432-ff72-4ded-a3e0-051cfd8a0417,Educating against racism,"Racism has been a scourge on society for centuries. In this session, we hear from some of the world's leading anti-racism activists and educators about how to end this plague.",Jane Elliott,Angelica Nwandu,,Sabrina Siddiqui
D13.2_WS20_724967719_TLK_EDT_V1_FIN,724967719,1058ead5-8133-4b92-91fa-ae6339326bf5,Zooming ahead: The shaping of a new world,"In conversation with Alyson Shontell, Eric Yuan talks about the journey of founding Zoom, the world during Covid-19, the future of communications, and the growing significance of and need for video communication and collaboration tools. ",Eric Yuan,,,Alyson Shontell
F21.2_WS20-724967721-TLK-EDT-V1_FIN,724967721,6bd5a929-e6d1-4bf2-9878-204e3da710dd,Technology – why we’re still believers,"Facebook is used by billions of people in different local contexts who live with varying economic and social conditions. Mike Schroepfer, Facebook’s CTO, will talk about why he believes the social media company, and others, must continue to build and apply tech to address societal and economic issues. Mike will also share his vision for future computing platforms, and discuss why advances in AR, VR and AI will make responsible innovation even more important in the coming years.",Mike Schroepfer,,,Jeremy Kahn
F8.2_WS20_ 724967722_TLK_EDT_V2_FIN,724967722,98f5525e-c8a5-4dd9-b256-1c5895d271d2,Human rights in the digital era,"Human rights sit at the core of the modern international political order. Since the signing of the Universal Declaration of Human Rights in 1948, technology has transformed the way we live. Here to discuss how tech has impacted human rights is UN high commissioner Michelle Bachelet.",Michelle Bachelet,,,Simon Robinson
D20.2_WS20_724967726_TLK_EDT_V4_FIN,724967726,b27ba2da-8a90-4732-bb60-e7f0f730efe1,Tonal: Intelligent fitness,"This talk will showcase a rising star from the global startup scene, and highlight how they've grown exponentially over the past 12 months.",Aly Orady,,,
C32.2_WS20_724967731_TLK_EDT_V2_FIN,724967731,123bcd0d-a18f-46cd-983b-1364144ce53e,US politics and the climate crisis,"The incoming US president will play a critical role in the fight against dangerous climate change. Natural Resources Defense Council CEO Gina McCarthy, in conversation with writer David Pogue, discusses what the result of the 2020 US election means for climate change.",David Pogue,Gina McCarthy,,
D23.2_WS20_724967734_TLK_EDT_V3_FIN,724967734,65963dc1-e4ea-4b20-bbe3-17688bed93a3,Can crowdsourced genetics improve drug discovery?,"Drug discovery is fraught with peril. Industry analysis shows that nine out of 10 potential new medicines fail in clinical trials. But genetically validated approaches could double the rate of success and bring many more new medicines to patients in need. 23andMe CEO Anne Wojcicki and Hal Barron – chief scientific officer and president of R&D at GlaxoSmithKline – have set out to transform the drug discovery process, starting with human genetics. Two years into a four-year collaboration, Anne and Hal will update the world on their first joint clinical trial, additional programmes that are underway, what makes for a successful collaboration, and how human genetics is influencing drug discovery.",Anne Wojcicki,Hal Barron,,Clifton Leaf
F31.2_WS20_724967736_TLK_EDT_V3_FIN,724967736,554b0a1d-a06e-4b0d-abe3-0f9777d2fb3c,Gwyneth Paltrow and Nicole Quinn in conversation,"Hear from goop founder Gwyneth Paltrow and Lightspeed Ventures partner Nicole Quinn as they talk through founding companies and investment, and everything in between.",Gwyneth Paltrow,Nicole Quinn,,
E29.2_WS20_724967737_TLK_EDT_V2_FIN,724967737,d2055de6-3292-486e-bbbb-515cd915d086,Building platforms for an uncertain future,"Event management and ticketing website Eventbrite has had a tumultuous 2020. For a company with a core business built around ticket sales for in-person, live events, it meant taking swift, decisive action to stay afloat. In this fireside, hear from co-founder and CEO Julia Hartz on the steps she has taken to navigate the crisis and where she can see the green shoots of recovery.",Julia Hartz,,,David Gelles
C1.1_WS20_724967741_TLK_EDT_V3,724967741,9ceb70bf-1223-485f-beb5-fc0c01ff45ab,A Europe for everybody,The president of the European Commission gives her vision for Europe.,Ursula Von Der Leyen,,,
B19.2_WS20_ 724967743_TLK_EDT_V3_FIN,724967743,ce4f3e17-3e12-467a-a34b-81679c7ed0c6,The future vision for computer vision,Standard Cognition is enabling autonomous checkout for brick and mortar retailers with a modern AI-powered computer vision platform. Hear from founder and CEO Jordan Fisher on the future of retail stores.,Jordan Fisher,,,
D27.2_WS20_724967744_TLK_EDT_V3_FIN,724967744,bccc24e8-3d7b-4aa1-958e-2aa23e507eb9,Blitzscaling: The key to scaling massive companies,"LinkedIn co-founder Reid Hoffman and entrepreneur Chris Yeh will discuss their book, Blitzscaling, and how its practices are often the key to scaling massive companies. ",Reid Hoffman,Chris Yeh,,Casey Lau
C16.2_WS20_724967747_TLK_EDT_V2_FIN,724967747,9ffb785b-3b94-4cf8-99a0-363ede907b2f,Better medicines faster,"How can the same technology that gives us image and speech recognition help us create better medicine? Convolutional neural networks – the same tech powering consumer devices such as Alexa –  also gives medicinal chemists an edge when hitting the most difficult, 'undruggable' targets, and can be the secret weapon in fighting diseases from Canavan’s to Covid-19. ",Abraham Heifets,,,
B12.2_WS20_724967751_TLK_EDT_V2_FIN,724967751,ff42b61e-9058-4759-8113-f01c3b22024e,Building technology that helps people do more for the planet,"Operating the business in an environmentally sustainable way has always been a core value for Google. The company unifies practices, partnerships and products around a single mission: to foster sustainability at scale. Join senior vice president Urs Hölzle as he discusses operating the cleanest cloud in the industry, and shares how Google is helping others do more for the planet, too.",Urs Hölzle,,,
D30.2_WS20_724967754_TLK_EDT_V2_FIN,724967754,0df521c2-593d-42bb-9142-04c5d2918ab8,From YouTube to Coda: Lessons for the Maker Generation,"In 2008, the idea that online video would do to cable what cable did to broadcast would get you laughed out of the room, especially at a struggling video company called YouTube. A decade later, that crazy ambition has become a reality, and creators building their own content have become mainstream. But there is a bigger movement at play here – every day, makers across industries are finding ways to design and build their own solutions. This talk will explore how history is repeating itself in software, and what we can expect from the ‘maker generation’.",Shishir Mehrotra,,,
C19.2_WS20_724967755_TLK_EDT_V1_FIN,724967755,91652c16-757f-4a2b-af5b-be704f01afac,Equality in human development,"Andela has been closing the digital divide by nurturing talent across Africa. As the pandemic forces a dramatic pivot from campus-based talent to fully remote, Andela's goal is now to widen the pool of talent across the entire African continent and beyond. Does the “new normal” open the door to a greater equality of opportunity? This session welcomes co-founder and CEO Jeremy Johnson, and board member – and former prime minister of Australia – Julia Gillard.",Julia Gillard,Jeremy Johnson,,Victor Ferreira
E5.2_WS20_724967756_TLK_EDT_V2_FIN,724967756,4e4a4f20-fd89-47d5-b43c-ef150ca9f7ce,Using tech to mind your mind,"How can tech help us block out all the noise, and focus on what is most important in 2020?",Padmasree Warrior,,,Sara Eisen
D35.2_WS20_724967760_TLK_EDT_V2_FIN,724967760,ce911fa2-50e7-48fa-99fc-9b59ac3aba72,Why I left StockX,"Josh Luber, co-founder of StockX (an online marketplace and clothing reseller that has transformed the sneaker industry), will tell the story of how he built up the StockX brand from nothing to where it is today, and why he then left it all.",Josh Luber,,,
B26.2_WS20_724967762_TLK_EDT_V1_FIN,724967762,c6f47eca-4e57-4283-98d5-53a4bfc0d09e,Building a European economy for the people,"The 21st century has brought unprecedented economic change. Ensuring that these changes are equitable and just is, arguably, the greatest challenge we face today. Join us to hear from the man who is the driving force behind an equitable and just economic transition in Europe – the executive vice president of the European Commission, Valdis Dombrovskis.",Valdis Dombrovskis,,,Gillian Tett
E11.2_WS20_724967763_TLK_EDT_V2_FIN,724967763,614ccd4f-a8b9-47ea-b0ee-b363a8b80e66,Marketing in 2021,What are the key marketing trends to watch out for over the next 12 months?,Gail Heimann,Frank Cooper,,
C24.2_WS20_724967768_TLK_EDT_V2_FIN,724967768,1548fc49-ddf2-43f5-8a5e-1e9a3bbb05cb,The fastest economic transition in history?,"Limiting global warming to 1.5ºC, as was committed to five years ago in Paris, will require the fastest economic transition in history. The president of the European Investment Bank will discuss how this can be achieved.",Werner Hoyer,,,
E27.2_WS20_724967770_TLK_EDT_V2_FIN,724967770,64865318-0bd3-4e9b-b3f9-e975fb668606,A message from Portugal,President Marcelo Rebelo de Sousa of Portugal joins us to talk to the Web Summit audience.,Marcelo Rebelo de Sousa,,,
B33.2_WS20_724967772_TLK_EDT_V1_FIN,724967772,4ec8ea26-0715-40d5-8106-d57a4aae32a1,Global Responsibility Actually,"Richard is a film writer and director. He is also the co-founder and vice-chair of Comic Relief, a UN advocate for the Sustainable Development Goals, and co-founder at Make My Money Matter. In this session, Richard will discuss the importance of sustainability in protecting the world.",Richard Curtis,,,Krishnan Guru-Murthy
C29.2_WS20_ 724967773_TLK_EDT_V1_FIN,724967773,8ffa692f-66a6-404f-8e7d-356612842ae5,Is the US too big to fail?,"In the face of social, economic and political turmoil, the US’s status as a global powerhouse has never seemed more under threat. In this talk, journalist and author Andrew Ross Sorkin will discuss if the country really is too big to fail.",Andrew Ross Sorkin,,,Brian Stelter
E10.2_WS20_724967774_TLK_EDT_V1_FIN,724967774,6d3c661e-e919-449b-a9c8-6eadba36dbe9,Drop the BÉIS with Shay Mitchell,"Shay Mitchell grew to stardom after appearing in hit TV shows such as Pretty Little Liars and Netflix's You, but she's not content to work in just one industry – she's also the founder and chief brand officer of her own travel accessory line, BÉIS. Hear from Shay on her business venture, which continues to go from strength to strength.",Shay Mitchell,,,Claire Hodgson
E14.2_WS20_724967777_TLK_EDN_EDT_V1_FIN,724967777,eef7495e-921e-4ea3-be94-d4956a54e1cf,How AI can help in a Covid-19 world,"This talk will showcase a rising star from the global startup scene, and highlight how they've grown exponentially over the past 12 months.",Greg Cross,,,
B41.2_WS20_724967778_TLK_EDT_V2_FIN,724967778,97a30258-a614-4c4b-b9bd-f0826704db12,Remixing reality,"What if in-person interactions don't return post-Covid 19? The world is shifting to a hybridisation of virtual and live experiences, with interactions like doctor visits, bank visits and concerts all becoming augmented, helping us to remix reality.",Alex Pall,Andrew Taggart,,Phil Libin
B17.2_WS20_724967780_TLK_EDT_V1_FIN,724967780,eedfc53c-20fb-4aa8-a367-2268fc2c9f6f,Drone delivery from San Francisco to Rwanda,"Zipline has been delivering essential medical supplies in isolated places across the world, including Rwanda. Now they're setting their sights closer to home. Join CEO Keller Rinaudo for this exclusive keynote, as he talks drone delivery.",Keller Rinaudo,,,
E22.2_WS20_ 724967783_TLK_EDT_V4_FIN,724967783,1c27e374-3830-4169-9b51-bd9fa350e2ec,It's a starting point,"At a crucial time in democratic history, these three speakers are doing what they can to make a difference. Co-founders Chris Evans, Mark Kassen and Joe Kiani are here to talk about A Starting Point, their civic engagement video-based app that helps voters better understand the issues of the day.",Chris Evans,Mark Kassen,Joe Kiani,Laurie Segall
B44.2_WS20_724967785_TLK_EDT_V2_FIN.mp4,724967785,636f2150-bf2d-4552-a4fb-6793268b9c7b,How disruptive automated driving technology emerged from the crisis,"This talk will showcase a rising star from the global startup scene, and highlight how they've grown exponentially over the past 12 months.",Laszlo Kishonti,,,
B47.2_WS20-724967789-TLK-EDT_V2_FIN,724967789,7c1c28af-5bf7-4a79-a1cb-dbba15efc9c1,Questions facing cities today,"Hear from the mayors of Lisbon, London and Toronto as they tackle the big questions facing their cities in 2021.",Fernando Medina,John Tory,Sadiq Khan,Issie Lapowsky
D40.2_WS20_ 726344604_TLK_EDT_V2_FIN,726344604,80460935-334c-4765-84b1-f109534e6e56,From lip service to leadership,Are leaders truly committed to change or are they just paying lip-service to investors? Hear from the leaders driving some of the biggest telco organisations in the world as they discuss balancing ambition and success with purpose.,Lise Fuhr,Urs Schaeppi,Jason Goodall,Georg Kell
D19.2_WS20_733211030_TLK_EDT_V2_FIN,733211030,418d9021-725c-4d03-b88a-e3a45c19ebc2,Making the world lighter,"Arevo enables ultra-strong, lightweight continuous carbon fibre products on demand. The company's CEO, Sonny Vu, will unbox the latest Arevo product.",Sonny Vu,,,
D5.2_WS20_733211075_TLK-EDT_V2_FIN,733211075,e7a6e5b3-85a2-4eef-bf60-0378989973cc,NASA's next space voyage,What does the future hold for space exploration? Let's hear about NASA's upcoming missions.,Kathy Lueders,Rick Ambrose,,Neel V Patel
C36_WS20_737335258_TLK_EDT_V3,737335258,a3cc7795-bdeb-4ff5-8b40-86cb83649ff0,PITCH quarter-final #1,"Out of 180, just 18 remain. After competing offline in our group rounds, 18 lucky startups are ready for the quarter-finals. Tune in to watch our judges' reactions to each startup's two-minute pitch. We’re only giving you a 30-second teaser, but you can check out their startup profiles to watch the full pitch. ",,,,
WS20_737337846_TLK_EDT_V3,737337846,0db489eb-2bcd-43cc-a44e-95a57471d4d4,PITCH quarter-final #2,"Out of 180, just 18 remain. After competing offline in our group rounds, 18 lucky startups are ready for the quarter-finals. Tune in to watch our judges' reactions to each startup's two-minute pitch. We’re only giving you a 30-second teaser, but you can check out their startup profiles to watch the full pitch. ",,,,
 E34_WS20_737338448_TLK_EDT_V3_FIN,737338448,24026fbd-2924-4138-b6de-5f557a17167b,PITCH quarter-final #3 & announcement,"Out of 180, just 18 remain. After competing offline in our group rounds, 18 lucky startups are ready for the quarter-finals. Tune in to watch our judges' reactions to each startup's two-minute pitch. We’re only giving you a 30-second teaser, but you can check out their startup profiles to watch the full pitch. We’ll also announce the winners of today’s quarter-finals – tune in to find out who’s progressing to tomorrow’s PITCH semi-final.",,,,
B52_WS20_737340635_TLK_EDT_V3,737340635,c429b773-dd1a-40dc-8f47-58a4d6f480cc,PITCH semi-final #1,"It's time for the PITCH semi-final! This round, you'll get to see more of our judge's reactions and a minute of each startup pitch. Which is your favourite startup? Who will make it through to the final? Tune in to find out!",,,,
